2020-11-11 - 16:37:58 INFO:  Accuracy: 0.4840908944606781 durch die Hyperparameter -> {'epochs': 2, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-11 - 16:45:55 INFO:  Accuracy: 0.8068181872367859 durch die Hyperparameter -> {'epochs': 10, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-11 - 16:45:55 INFO:  Accuracy: 0.8068181872367859 durch die Hyperparameter -> {'epochs': 10, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-11 - 16:47:10 INFO:  Accuracy: 0.8295454382896423 durch die Hyperparameter -> {'epochs': 8, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.4676718294620514 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 10, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.4676718294620514 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 10, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.49541184306144714 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 10, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.49541184306144714 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 10, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.49430073499679567 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 10, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.49430073499679567 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 10, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7372923374176026 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 25, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7372923374176026 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 25, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6681896209716797 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 25, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6681896209716797 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 25, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.5148562908172607 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 25, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.5148562908172607 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 25, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6553613901138305 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 50, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6553613901138305 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 50, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7184200167655945 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 50, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7184200167655945 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 50, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.5409269392490387 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 50, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.5409269392490387 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 50, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7181445598602295 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 10, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7181445598602295 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 10, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7250755071640015 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 10, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7250755071640015 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 10, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.49349244236946105 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 10, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.49349244236946105 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 10, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7300828099250793 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 25, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7300828099250793 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 25, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6409038305282593 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 25, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6409038305282593 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 25, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.559022969007492 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 25, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.559022969007492 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 25, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7550893902778626 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7550893902778626 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7131476402282715 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7131476402282715 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'SGD'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.5787444114685059 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.5787444114685059 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 50, 'optimizer': 'Adadelta'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7581063985824585 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 10, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.7581063985824585 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 10, 'optimizer': 'Adam'}
2020-11-15 - 18:29:06 INFO: [GridSearch Validation] Accuracy: 0.6534077048301696 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 10, 'optimizer': 'SGD'}
